ID,Nome,Idade,Destino,Classe,Valor_Gasto,Hora_Entrada_Restaurante,Hora_Saída_Restaurante,Objeto_Carregado
1,Luísa da Conceição,58,Paris,1ª Classe,373.36,13,14,Carteira
2,Davi Miguel Camargo,24,Madri,1ª Classe,299.34,10,11,Carteira
3,Sr. Gustavo Henrique Borges,32,Madri,3ª Classe,23.0,13,15,Jornal
4,Renan Araújo,55,Berlim,1ª Classe,381.82,12,14,Jornal
5,Carlos Eduardo Gonçalves,27,Londres,2ª Classe,60.08,16,17,Jornal
6,Stella Pires,40,Madri,2ª Classe,405.49,21,23,Boné
7,Jade Rezende,42,Paris,3ª Classe,153.66,20,22,Chocolate
8,Bianca Monteiro,63,Paris,1ª Classe,334.02,22,24,Bastão de Caminhada
9,Ana Liz Viana,32,Paris,2ª Classe,146.21,20,22,Carteira
10,Rafaela Lima,40,Londres,3ª Classe,140.82,20,21,Chocolate
11,Luan Nogueira,28,Madri,3ª Classe,129.96,17,19,Jornal
12,João Lucas Gomes,58,Madri,1ª Classe,345.46,22,23,Jornal
13,João Miguel Moura,20,Berlim,2ª Classe,141.19,13,15,Jornal
14,João Lucas Fernandes,49,Roma,3ª Classe,234.84,14,15,Jornal
15,João Correia,53,Madri,2ª Classe,376.04,16,18,Jornal
16,Natália Borges,26,Madri,2ª Classe,54.55,10,11,Carteira
17,Théo Pinto,28,Roma,3ª Classe,41.13,16,18,Boné
18,Apollo da Conceição,53,Paris,3ª Classe,363.15,20,22,Celular
19,Dra. Hellena Garcia,39,Paris,2ª Classe,223.03,17,18,Faca
20,Sr. Apollo Costa,64,Berlim,3ª Classe,383.36,18,19,Celular
21,Lucas Fogaça,37,Madri,3ª Classe,107.47,15,16,Boné
22,Antony Aparecida,67,Madri,1ª Classe,303.48,17,18,Carteira
23,Luiz Miguel da Rocha,41,Berlim,1ª Classe,38.38,19,20,Carteira
24,Beatriz Nascimento,49,Paris,3ª Classe,385.26,12,14,Faca
25,Maria Julia Moura,28,Berlim,3ª Classe,437.49,16,17,Celular
26,Bruno Dias,66,Londres,3ª Classe,162.74,20,22,Boné
27,Luiz Miguel Barros,51,Roma,1ª Classe,131.47,11,13,Carteira
28,Eduarda Souza,53,Londres,3ª Classe,117.91,11,12,Jornal
29,Aylla Costa,20,Berlim,1ª Classe,261.94,14,16,Jornal
30,Antônio Teixeira,26,Madri,3ª Classe,241.61,22,24,Celular
31,Sr. Arthur Miguel Sampaio,30,Paris,1ª Classe,332.9,15,17,Boné
